HR,time
141.0,87782.0
141.0,87784.0
141.0,87786.0
141.0,87788.0
141.0,87790.0
141.0,87792.0
141.0,87794.0
141.0,87796.0
141.0,87798.0
141.0,87800.0
141.0,87802.0
141.0,87804.0
141.0,87806.0
142.0,87808.0
142.0,87810.0
143.0,87812.0
143.0,87814.0
143.0,87816.0
144.0,87818.0
144.0,87820.0
145.0,87822.0
145.0,87824.0
145.0,87826.0
145.0,87828.0
145.0,87830.0
145.0,87832.0
145.0,87834.0
145.0,87836.0
145.0,87838.0
145.0,87840.0
145.0,87842.0
145.0,87844.0
145.0,87846.0
145.0,87848.0
145.0,87850.0
145.0,87852.0
145.0,87854.0
145.0,87856.0
145.0,87858.0
145.0,87860.0
144.0,87862.0
144.0,87864.0
145.0,87866.0
145.0,87868.0
145.0,87870.0
144.0,87872.0
144.0,87874.0
144.0,87876.0
144.0,87878.0
144.0,87880.0
144.0,87882.0
144.0,87884.0
144.0,87886.0
145.0,87888.0
145.0,87890.0
145.0,87892.0
145.0,87894.0
145.0,87896.0
145.0,87898.0
145.0,87900.0
144.0,87902.0
144.0,87904.0
144.0,87906.0
144.0,87908.0
144.0,87910.0
144.0,87912.0
144.0,87914.0
144.0,87916.0
144.0,87918.0
144.0,87920.0
144.0,87922.0
144.0,87924.0
144.0,87926.0
144.0,87928.0
144.0,87930.0
144.0,87932.0
144.0,87934.0
144.0,87936.0
144.0,87938.0
144.0,87940.0
144.0,87942.0
144.0,87944.0
144.0,87946.0
144.0,87948.0
143.0,87950.0
142.0,87952.0
142.0,87954.0
142.0,87956.0
142.0,87958.0
142.0,87960.0
143.0,87962.0
143.0,87964.0
143.0,87966.0
143.0,87968.0
143.0,87970.0
143.0,87972.0
143.0,87974.0
143.0,87976.0
143.0,87978.0
143.0,87980.0
144.0,87982.0
144.0,87984.0
143.0,87986.0
142.0,87988.0
143.0,87990.0
143.0,87992.0
145.0,87994.0
146.0,87996.0
147.0,87998.0
148.0,88000.0
149.0,88002.0
150.0,88004.0
151.0,88006.0
151.0,88008.0
152.0,88010.0
151.0,88012.0
151.0,88014.0
151.0,88016.0
151.0,88018.0
150.0,88020.0
150.0,88022.0
149.0,88024.0
149.0,88026.0
149.0,88028.0
150.0,88030.0
150.0,88032.0
150.0,88034.0
149.0,88036.0
